Time	Left foot marker	Right foot marker	Left vertical force	Right vertical force	Success	Preferred left step length	Preferred Right step length	Left gain	Right gain	Constant	Stride Number	Right step length	Left step length	Sum of gains and steps	Lower bound success	Upper bound success	Score	Success Region	Left heel strike	Right heel strike	Short or long first	Feedback	Firework position	Left foot lateral position	Right foot lateral position	Left hip	Right hip
5605.672930	0.010914	-0.255159	659.853638	25.187298	1.000000	0.500000	0.450000	1.000000	1.000000	2.000000	378.000000	0.000000	0.448917	1.168765	1.450000	2.550000	0.000000	0.550000	378.000000	379.000000	1.000000	2.000000	1.000000	-0.120703	0.197348	0.944234	0.863076
5605.676264	0.010914	-0.255159	659.853638	25.187298	1.000000	0.500000	0.450000	1.000000	1.000000	2.000000	378.000000	0.000000	0.448917	1.168765	1.450000	2.550000	0.000000	0.550000	378.000000	379.000000	1.000000	2.000000	1.000000	-0.120703	0.197348	0.944234	0.863076
5605.679597	0.010914	-0.255159	659.853638	25.187298	1.000000	0.500000	0.450000	1.000000	1.000000	2.000000	378.000000	0.000000	0.448917	1.168765	1.450000	2.550000	0.000000	0.550000	378.000000	379.000000	1.000000	2.000000	1.000000	-0.120703	0.197348	0.944234	0.863076
5605.682930	0.010907	-0.255181	659.742004	25.100565	1.000000	0.500000	0.450000	1.000000	1.000000	2.000000	378.000000	0.000000	0.448917	1.168765	1.450000	2.550000	0.000000	0.550000	378.000000	379.000000	1.000000	2.000000	1.000000	-0.120703	0.197371	0.944263	0.863140
5605.686264	0.010907	-0.255181	659.742004	25.100565	1.000000	0.500000	0.450000	1.000000	1.000000	2.000000	378.000000	0.000000	0.448917	1.168765	1.450000	2.550000	0.000000	0.550000	378.000000	379.000000	1.000000	2.000000	1.000000	-0.120703	0.197371	0.944263	0.863140
5605.689597	0.010907	-0.255181	659.742004	25.100565	1.000000	0.500000	0.450000	1.000000	1.000000	2.000000	378.000000	0.000000	0.448917	1.168765	1.450000	2.550000	0.000000	0.550000	378.000000	379.000000	1.000000	2.000000	1.000000	-0.120703	0.197371	0.944263	0.863140
5605.692930	0.010900	-0.255202	659.528625	25.165186	1.000000	0.500000	0.450000	1.000000	1.000000	2.000000	378.000000	0.000000	0.448917	1.168765	1.450000	2.550000	0.000000	0.550000	378.000000	379.000000	1.000000	2.000000	1.000000	-0.120703	0.197398	0.944280	0.863213
5605.696264	0.010900	-0.255202	659.528625	25.165186	1.000000	0.500000	0.450000	1.000000	1.000000	2.000000	378.000000	0.000000	0.448917	1.168765	1.450000	2.550000	0.000000	0.550000	378.000000	379.000000	1.000000	2.000000	1.000000	-0.120703	0.197398	0.944280	0.863213
5605.699597	0.010900	-0.255202	659.528625	25.165186	1.000000	0.500000	0.450000	1.000000	1.000000	2.000000	378.000000	0.000000	0.448917	1.168765	1.450000	2.550000	0.000000	0.550000	378.000000	379.000000	1.000000	2.000000	1.000000	-0.120703	0.197398	0.944280	0.863213
5605.702930	0.010898	-0.255203	659.173462	25.234804	1.000000	0.500000	0.450000	1.000000	1.000000	2.000000	378.000000	0.000000	0.448917	1.168765	1.450000	2.550000	0.000000	0.550000	378.000000	379.000000	1.000000	2.000000	1.000000	-0.120705	0.197413	0.944290	0.863330
5605.706264	0.010898	-0.255203	659.173462	25.234804	1.000000	0.500000	0.450000	1.000000	1.000000	2.000000	378.000000	0.000000	0.448917	1.168765	1.450000	2.550000	0.000000	0.550000	378.000000	379.000000	1.000000	2.000000	1.000000	-0.120705	0.197413	0.944290	0.863330
5605.709597	0.010898	-0.255203	659.173462	25.234804	1.000000	0.500000	0.450000	1.000000	1.000000	2.000000	378.000000	0.000000	0.448917	1.168765	1.450000	2.550000	0.000000	0.550000	378.000000	379.000000	1.000000	2.000000	1.000000	-0.120705	0.197413	0.944290	0.863330
5605.712930	0.010896	-0.255181	658.744690	25.310865	1.000000	0.500000	0.450000	1.000000	1.000000	2.000000	378.000000	0.000000	0.448917	1.168765	1.450000	2.550000	0.000000	0.550000	378.000000	379.000000	1.000000	2.000000	1.000000	-0.120714	0.197412	0.944300	0.863464
5605.716264	0.010896	-0.255181	658.744690	25.310865	1.000000	0.500000	0.450000	1.000000	1.000000	2.000000	378.000000	0.000000	0.448917	1.168765	1.450000	2.550000	0.000000	0.550000	378.000000	379.000000	1.000000	2.000000	1.000000	-0.120714	0.197412	0.944300	0.863464
5605.719597	0.010896	-0.255181	658.744690	25.310865	1.000000	0.500000	0.450000	1.000000	1.000000	2.000000	378.000000	0.000000	0.448917	1.168765	1.450000	2.550000	0.000000	0.550000	378.000000	379.000000	1.000000	2.000000	1.000000	-0.120714	0.197412	0.944300	0.863464
5605.722930	0.010890	-0.255156	658.449341	25.479319	1.000000	0.500000	0.450000	1.000000	1.000000	2.000000	378.000000	0.000000	0.448917	1.168765	1.450000	2.550000	0.000000	0.550000	378.000000	379.000000	1.000000	2.000000	1.000000	-0.120722	0.197403	0.944324	0.863602
5605.726264	0.010890	-0.255156	658.449341	25.479319	1.000000	0.500000	0.450000	1.000000	1.000000	2.000000	378.000000	0.000000	0.448917	1.168765	1.450000	2.550000	0.000000	0.550000	378.000000	379.000000	1.000000	2.000000	1.000000	-0.120722	0.197403	0.944324	0.863602
5605.729597	0.010890	-0.255156	658.449341	25.479319	1.000000	0.500000	0.450000	1.000000	1.000000	2.000000	378.000000	0.000000	0.448917	1.168765	1.450000	2.550000	0.000000	0.550000	378.000000	379.000000	1.000000	2.000000	1.000000	-0.120722	0.197403	0.944324	0.863602
5605.732930	0.010881	-0.255156	658.339783	25.712631	1.000000	0.500000	0.450000	1.000000	1.000000	2.000000	378.000000	0.000000	0.448917	1.168765	1.450000	2.550000	0.000000	0.550000	378.000000	379.000000	1.000000	2.000000	1.000000	-0.120724	0.197403	0.944356	0.863753
5605.736264	0.010881	-0.255156	658.339783	25.712631	1.000000	0.500000	0.450000	1.000000	1.000000	2.000000	378.000000	0.000000	0.448917	1.168765	1.450000	2.550000	0.000000	0.550000	378.000000	379.000000	1.000000	2.000000	1.000000	-0.120724	0.197403	0.944356	0.863753
