Time	Left foot marker	Right foot marker	Left vertical force	Right vertical force	Success	Preferred left step length	Preferred Right step length	Left gain	Right gain	Constant	Stride Number	Right step length	Left step length	Sum of gains and steps	Lower bound success	Upper bound success	Score	Success Region	Left heel strike	Right heel strike	Left lateral position	Right lateral position
15227.094889	-0.078054	-0.092438	195.993286	188.473648	0.000000	0.480000	0.480000	1.000000	1.000000	2.000000	0.000000	0.000000	0.000000	0.000000	1.900000	2.100000	0.000000	0.100000	0.000000	0.000000	-0.236749	0.183187
15227.098222	-0.078054	-0.092438	195.993286	188.473648	0.000000	0.480000	0.480000	1.000000	1.000000	2.000000	0.000000	0.000000	0.000000	0.000000	1.900000	2.100000	0.000000	0.100000	0.000000	0.000000	-0.236749	0.183187
15227.101555	-0.078054	-0.092438	195.993286	188.473648	0.000000	0.480000	0.480000	1.000000	1.000000	2.000000	0.000000	0.000000	0.000000	0.000000	1.900000	2.100000	0.000000	0.100000	0.000000	0.000000	-0.236749	0.183187
15227.104889	-0.078052	-0.092433	195.677841	189.176849	0.000000	0.480000	0.480000	1.000000	1.000000	2.000000	0.000000	0.000000	0.000000	0.000000	1.900000	2.100000	0.000000	0.100000	0.000000	0.000000	-0.236745	0.183185
15227.108222	-0.078052	-0.092433	195.677841	189.176849	0.000000	0.480000	0.480000	1.000000	1.000000	2.000000	0.000000	0.000000	0.000000	0.000000	1.900000	2.100000	0.000000	0.100000	0.000000	0.000000	-0.236745	0.183185
15227.111555	-0.078052	-0.092433	195.677841	189.176849	0.000000	0.480000	0.480000	1.000000	1.000000	2.000000	0.000000	0.000000	0.000000	0.000000	1.900000	2.100000	0.000000	0.100000	0.000000	0.000000	-0.236745	0.183185
15227.114889	-0.078053	-0.092428	195.109146	190.152649	0.000000	0.480000	0.480000	1.000000	1.000000	2.000000	0.000000	0.000000	0.000000	0.000000	1.900000	2.100000	0.000000	0.100000	0.000000	0.000000	-0.236745	0.183180
15227.118222	-0.078053	-0.092428	195.109146	190.152649	0.000000	0.480000	0.480000	1.000000	1.000000	2.000000	0.000000	0.000000	0.000000	0.000000	1.900000	2.100000	0.000000	0.100000	0.000000	0.000000	-0.236745	0.183180
15227.121555	-0.078053	-0.092428	195.109146	190.152649	0.000000	0.480000	0.480000	1.000000	1.000000	2.000000	0.000000	0.000000	0.000000	0.000000	1.900000	2.100000	0.000000	0.100000	0.000000	0.000000	-0.236745	0.183180
15227.124889	-0.078055	-0.092424	194.345444	191.254227	0.000000	0.480000	0.480000	1.000000	1.000000	2.000000	0.000000	0.000000	0.000000	0.000000	1.900000	2.100000	0.000000	0.100000	0.000000	0.000000	-0.236745	0.183178
15227.128222	-0.078055	-0.092424	194.345444	191.254227	0.000000	0.480000	0.480000	1.000000	1.000000	2.000000	0.000000	0.000000	0.000000	0.000000	1.900000	2.100000	0.000000	0.100000	0.000000	0.000000	-0.236745	0.183178
15227.131555	-0.078055	-0.092424	194.345444	191.254227	0.000000	0.480000	0.480000	1.000000	1.000000	2.000000	0.000000	0.000000	0.000000	0.000000	1.900000	2.100000	0.000000	0.100000	0.000000	0.000000	-0.236745	0.183178
15227.134889	-0.078055	-0.092415	193.497635	192.451035	0.000000	0.480000	0.480000	1.000000	1.000000	2.000000	0.000000	0.000000	0.000000	0.000000	1.900000	2.100000	0.000000	0.100000	0.000000	0.000000	-0.236746	0.183174
