Time	Left foot marker	Right foot marker	Left vertical force	Right vertical force	Success	Preferred left step length	Preferred Right step length	Left gain	Right gain	Constant	Stride Number	Right step length	Left step length	Sum of gains and steps	Lower bound success	Upper bound success	Score	Success Region	Left heel strike	Right heel strike	Short or long first	Feedback	Firework position	Left foot lateral position	Right foot lateral position
1855.036499	0.143920	-0.580254	0.000000	0.000000	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	0.000000	0.000000	-0.538688	-0.598542	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	1.000000	1.000000	1.000000	0.212922	-1.224683
1855.052578	0.145602	-0.586134	0.000000	0.000000	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	0.000000	0.000000	-0.538688	-0.598542	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	1.000000	1.000000	1.000000	0.213648	-1.218074
1855.055912	0.145602	-0.586134	0.000000	0.000000	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	0.000000	0.000000	-0.538688	-0.598542	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	1.000000	1.000000	1.000000	0.213648	-1.218074
1855.059245	0.145602	-0.586134	0.000000	0.000000	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	0.000000	0.000000	-0.538688	-0.598542	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	1.000000	1.000000	1.000000	0.213648	-1.218074
1855.062578	0.146455	-0.589052	0.000000	0.000000	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	0.000000	0.000000	-0.538688	-0.598542	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	1.000000	1.000000	1.000000	0.214019	-1.214742
1855.065912	0.146455	-0.589052	0.000000	0.000000	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	0.000000	0.000000	-0.538688	-0.598542	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	1.000000	1.000000	1.000000	0.214019	-1.214742
1855.069245	0.146455	-0.589052	0.000000	0.000000	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	0.000000	0.000000	-0.538688	-0.598542	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	1.000000	1.000000	1.000000	0.214019	-1.214742
1855.072578	0.147317	-0.591960	0.000000	0.000000	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	0.000000	0.000000	-0.538688	-0.598542	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	1.000000	1.000000	1.000000	0.214397	-1.211386
1855.075912	0.147317	-0.591960	0.000000	0.000000	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	0.000000	0.000000	-0.538688	-0.598542	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	1.000000	1.000000	1.000000	0.214397	-1.211386
1855.079245	0.147317	-0.591960	0.000000	0.000000	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	0.000000	0.000000	-0.538688	-0.598542	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	1.000000	1.000000	1.000000	0.214397	-1.211386
