Time	Left foot marker	Right foot marker	Left vertical force	Right vertical force	Stride length	Right step length	Left step length	Right preferred step length	Left preferred step length	Right heel strike	Left heel strike
27.778793	0.000000	0.000000	0.056594	0.109583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
27.782126	0.000000	0.000000	0.056594	0.109583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
27.785460	0.000000	0.000000	0.056594	0.109583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
27.788793	0.000000	0.000000	0.056594	0.109583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
27.792126	0.000000	0.000000	0.056594	0.109583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
27.795460	0.000000	0.000000	0.056594	0.109583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
27.798793	0.000000	0.000000	0.056594	0.109583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
27.802126	0.000000	0.000000	0.056594	0.109583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
27.805460	0.000000	0.000000	0.056594	0.109583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
27.808793	0.000000	0.000000	0.056594	0.109583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
27.812126	0.000000	0.000000	0.056594	0.109583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
27.815460	0.000000	0.000000	0.056594	0.109583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
27.818793	0.000000	0.000000	0.056594	0.109583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
27.822126	0.000000	0.000000	0.056594	0.109583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
27.825460	0.000000	0.000000	0.056594	0.109583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
27.828793	0.000000	0.000000	0.056594	0.109583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
27.832126	0.000000	0.000000	0.056594	0.109583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
27.835460	0.000000	0.000000	0.056594	0.109583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
27.838793	0.000000	0.000000	0.056594	0.109583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
27.842126	0.000000	0.000000	0.056594	0.109583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
27.845460	0.000000	0.000000	0.056594	0.109583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
27.848793	0.000000	0.000000	0.056594	0.109583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
27.852126	0.000000	0.000000	0.056594	0.109583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
27.855460	0.000000	0.000000	0.056594	0.109583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
27.858793	0.000000	0.000000	0.056594	0.109583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
27.862126	0.000000	0.000000	0.056594	0.109583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
27.865460	0.000000	0.000000	0.056594	0.109583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
27.868793	0.000000	0.000000	0.056594	0.109583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
