Time	Left foot marker	Right foot marker	Left vertical force	Right vertical force	Success	Preferred left step length	Preferred Right step length	Left gain	Right gain	Constant	Stride Number	Right step length	Left step length	Sum of gains and steps	Lower bound success	Upper bound success	Score	Success Region	Left heel strike	Right heel strike	Left lateral position	Right lateral position
2970.741346	-0.056640	0.093893	134.938446	207.950073	0.000000	0.530000	0.450000	1.000000	1.000000	2.000000	0.000000	0.000000	0.000000	0.000000	1.850000	2.150000	0.000000	0.150000	0.000000	0.000000	-0.187858	0.175843
2970.744679	-0.056640	0.093893	134.938446	207.950073	0.000000	0.530000	0.450000	1.000000	1.000000	2.000000	0.000000	0.000000	0.000000	0.000000	1.850000	2.150000	0.000000	0.150000	0.000000	0.000000	-0.187858	0.175843
2970.748012	-0.056629	0.093888	135.500748	207.463593	0.000000	0.530000	0.450000	1.000000	1.000000	2.000000	0.000000	0.000000	0.000000	0.000000	1.850000	2.150000	0.000000	0.150000	0.000000	0.000000	-0.187843	0.175835
2970.751346	-0.056629	0.093888	135.500748	207.463593	0.000000	0.530000	0.450000	1.000000	1.000000	2.000000	0.000000	0.000000	0.000000	0.000000	1.850000	2.150000	0.000000	0.150000	0.000000	0.000000	-0.187843	0.175835
2970.754679	-0.056629	0.093888	135.500748	207.463593	0.000000	0.530000	0.450000	1.000000	1.000000	2.000000	0.000000	0.000000	0.000000	0.000000	1.850000	2.150000	0.000000	0.150000	0.000000	0.000000	-0.187843	0.175835
2970.758012	-0.056624	0.093886	135.860611	207.064819	0.000000	0.530000	0.450000	1.000000	1.000000	2.000000	0.000000	0.000000	0.000000	0.000000	1.850000	2.150000	0.000000	0.150000	0.000000	0.000000	-0.187835	0.175833
2970.761346	-0.056624	0.093886	135.860611	207.064819	0.000000	0.530000	0.450000	1.000000	1.000000	2.000000	0.000000	0.000000	0.000000	0.000000	1.850000	2.150000	0.000000	0.150000	0.000000	0.000000	-0.187835	0.175833
2970.764679	-0.056624	0.093886	135.860611	207.064819	0.000000	0.530000	0.450000	1.000000	1.000000	2.000000	0.000000	0.000000	0.000000	0.000000	1.850000	2.150000	0.000000	0.150000	0.000000	0.000000	-0.187835	0.175833
2970.768012	-0.056623	0.093885	136.033401	206.737473	0.000000	0.530000	0.450000	1.000000	1.000000	2.000000	0.000000	0.000000	0.000000	0.000000	1.850000	2.150000	0.000000	0.150000	0.000000	0.000000	-0.187827	0.175836
2970.771346	-0.056623	0.093885	136.033401	206.737473	0.000000	0.530000	0.450000	1.000000	1.000000	2.000000	0.000000	0.000000	0.000000	0.000000	1.850000	2.150000	0.000000	0.150000	0.000000	0.000000	-0.187827	0.175836
2970.774679	-0.056623	0.093885	136.033401	206.737473	0.000000	0.530000	0.450000	1.000000	1.000000	2.000000	0.000000	0.000000	0.000000	0.000000	1.850000	2.150000	0.000000	0.150000	0.000000	0.000000	-0.187827	0.175836
2970.778012	-0.056624	0.093888	135.995514	206.424408	0.000000	0.530000	0.450000	1.000000	1.000000	2.000000	0.000000	0.000000	0.000000	0.000000	1.850000	2.150000	0.000000	0.150000	0.000000	0.000000	-0.187822	0.175837
2970.781346	-0.056624	0.093888	135.995514	206.424408	0.000000	0.530000	0.450000	1.000000	1.000000	2.000000	0.000000	0.000000	0.000000	0.000000	1.850000	2.150000	0.000000	0.150000	0.000000	0.000000	-0.187822	0.175837
