Time	Left foot marker	Right foot marker	Left vertical force	Right vertical force	Success	Preferred left step length	Preferred Right step length	Left gain	Right gain	Constant	Stride Number	Right step length	Left step length	Sum of gains and steps	Lower bound success	Upper bound success	Score	Success Region	Left heel strike	Right heel strike	Short or long first	Feedback	Firework position	Left foot lateral position	Right foot lateral position
2308.469559	-0.274077	-0.223553	156.170776	177.594330	0.000000	0.530000	0.450000	1.000000	1.000000	2.000000	0.000000	0.000000	-0.003496	-0.003884	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	1.000000	2.000000	1.000000	-0.215418	0.189364
2308.472892	-0.274077	-0.223553	156.170776	177.594330	0.000000	0.530000	0.450000	1.000000	1.000000	2.000000	0.000000	0.000000	-0.003496	-0.003884	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	1.000000	2.000000	1.000000	-0.215418	0.189364
2308.476226	-0.274075	-0.223549	155.937271	177.075546	0.000000	0.530000	0.450000	1.000000	1.000000	2.000000	0.000000	0.000000	-0.003496	-0.003884	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	1.000000	2.000000	1.000000	-0.215420	0.189364
2308.479559	-0.274075	-0.223549	155.937271	177.075546	0.000000	0.530000	0.450000	1.000000	1.000000	2.000000	0.000000	0.000000	-0.003496	-0.003884	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	1.000000	2.000000	1.000000	-0.215420	0.189364
2308.482892	-0.274075	-0.223549	155.937271	177.075546	0.000000	0.530000	0.450000	1.000000	1.000000	2.000000	0.000000	0.000000	-0.003496	-0.003884	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	1.000000	2.000000	1.000000	-0.215420	0.189364
2308.486226	-0.274082	-0.223552	155.606583	176.965622	0.000000	0.530000	0.450000	1.000000	1.000000	2.000000	0.000000	0.000000	-0.003496	-0.003884	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	1.000000	2.000000	1.000000	-0.215425	0.189360
2308.489559	-0.274082	-0.223552	155.606583	176.965622	0.000000	0.530000	0.450000	1.000000	1.000000	2.000000	0.000000	0.000000	-0.003496	-0.003884	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	1.000000	2.000000	1.000000	-0.215425	0.189360
2308.492892	-0.274082	-0.223552	155.606583	176.965622	0.000000	0.530000	0.450000	1.000000	1.000000	2.000000	0.000000	0.000000	-0.003496	-0.003884	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	1.000000	2.000000	1.000000	-0.215425	0.189360
2308.496226	-0.274089	-0.223558	155.624329	177.448624	0.000000	0.530000	0.450000	1.000000	1.000000	2.000000	0.000000	0.000000	-0.003496	-0.003884	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	1.000000	2.000000	1.000000	-0.215426	0.189358
2308.499559	-0.274089	-0.223558	155.624329	177.448624	0.000000	0.530000	0.450000	1.000000	1.000000	2.000000	0.000000	0.000000	-0.003496	-0.003884	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	1.000000	2.000000	1.000000	-0.215426	0.189358
