Time	Left foot marker	Right foot marker	Left vertical force	Right vertical force	Stride length	Right step length	Left step length	Right preferred step length	Left preferred step length	Right heel strike	Left heel strike
3080.872842	-0.102850	-0.131841	189.620667	198.205399	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3080.876175	-0.102850	-0.131841	189.620667	198.205399	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3080.879508	-0.102850	-0.131841	189.620667	198.205399	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3080.882842	-0.102850	-0.131841	189.620667	198.205399	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3080.886175	-0.102850	-0.131841	189.620667	198.205399	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3080.889508	-0.102850	-0.131841	189.620667	198.205399	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3080.892842	-0.102850	-0.131841	189.620667	198.205399	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3080.896175	-0.102850	-0.131841	189.620667	198.205399	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3080.899508	-0.102850	-0.131841	189.620667	198.205399	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3080.902842	-0.102850	-0.131841	189.620667	198.205399	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3080.906175	-0.102850	-0.131841	189.620667	198.205399	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3080.909508	-0.102850	-0.131841	189.620667	198.205399	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3080.912842	-0.102850	-0.131841	189.620667	198.205399	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3080.916175	-0.102850	-0.131841	189.620667	198.205399	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3080.919508	-0.102850	-0.131841	189.620667	198.205399	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3080.922842	-0.102850	-0.131841	189.620667	198.205399	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3080.926175	-0.102850	-0.131841	189.620667	198.205399	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3080.929508	-0.102850	-0.131841	189.620667	198.205399	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3080.932842	-0.102850	-0.131841	189.620667	198.205399	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3080.936175	-0.102850	-0.131841	189.620667	198.205399	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3080.939508	-0.102850	-0.131841	189.620667	198.205399	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3080.942842	-0.102850	-0.131841	189.620667	198.205399	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3080.946175	-0.102850	-0.131841	189.620667	198.205399	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3080.949508	-0.102850	-0.131841	189.620667	198.205399	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3080.952842	-0.102850	-0.131841	189.620667	198.205399	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3080.956175	-0.102850	-0.131841	189.620667	198.205399	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3080.959508	-0.102850	-0.131841	189.620667	198.205399	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3080.962842	-0.102850	-0.131841	189.620667	198.205399	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3080.966175	-0.102850	-0.131841	189.620667	198.205399	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3080.969508	-0.102850	-0.131841	189.620667	198.205399	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3080.972842	-0.102850	-0.131841	189.620667	198.205399	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3080.976175	-0.102850	-0.131841	189.620667	198.205399	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3080.979508	-0.102850	-0.131841	189.620667	198.205399	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3080.982842	-0.102850	-0.131841	189.620667	198.205399	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3080.986175	-0.102850	-0.131841	189.620667	198.205399	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3080.989508	-0.102850	-0.131841	189.620667	198.205399	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3080.992842	-0.102850	-0.131841	189.620667	198.205399	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3080.996175	-0.102850	-0.131841	189.620667	198.205399	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3080.999508	-0.102850	-0.131841	189.620667	198.205399	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3081.002842	-0.102850	-0.131841	189.620667	198.205399	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3081.006175	-0.102850	-0.131841	189.620667	198.205399	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3081.009508	-0.102850	-0.131841	189.620667	198.205399	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3081.012842	-0.102850	-0.131841	189.620667	198.205399	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3081.016175	-0.102850	-0.131841	189.620667	198.205399	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3081.019508	-0.102850	-0.131841	189.620667	198.205399	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3081.022842	-0.102850	-0.131841	189.620667	198.205399	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3081.026175	-0.102850	-0.131841	189.620667	198.205399	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3081.029508	-0.102910	-0.131874	192.019974	197.578415	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3081.032842	-0.102910	-0.131874	192.019974	197.578415	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3081.036175	-0.102910	-0.131874	192.019974	197.578415	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3081.039508	-0.102910	-0.131874	192.019974	197.578415	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3081.042842	-0.102910	-0.131874	192.019974	197.578415	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3081.046175	-0.102910	-0.131874	192.019974	197.578415	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3081.049508	-0.102910	-0.131874	192.019974	197.578415	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3081.052842	-0.102910	-0.131874	192.019974	197.578415	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3081.056175	-0.102910	-0.131874	192.019974	197.578415	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
