Time	Left foot marker	Right foot marker	Left vertical force	Right vertical force	Success	Preferred left step length	Preferred Right step length	Left gain	Right gain	Constant	Stride Number	Right step length	Left step length	Sum of gains and steps	Lower bound success	Upper bound success	Score	Success Region	Left heel strike	Right heel strike	Short or long first	Feedback	Firework position	Left foot lateral position	Right foot lateral position	Left hip	Right hip
6491.339327	0.024825	0.005716	312.927155	0.109584	1.000000	0.400000	0.380000	1.000000	1.000000	2.000000	372.000000	0.388434	0.000000	0.681464	1.450000	2.550000	0.000000	0.550000	372.000000	372.000000	2.000000	2.000000	1.000000	-0.134999	0.142003	0.832303	0.841505
6491.342660	0.024825	0.005716	312.927155	0.109584	1.000000	0.400000	0.380000	1.000000	1.000000	2.000000	372.000000	0.388434	0.000000	0.681464	1.450000	2.550000	0.000000	0.550000	372.000000	372.000000	2.000000	2.000000	1.000000	-0.134999	0.142003	0.832303	0.841505
6491.345994	0.024825	0.005716	312.927155	0.109584	1.000000	0.400000	0.380000	1.000000	1.000000	2.000000	372.000000	0.388434	0.000000	0.681464	1.450000	2.550000	0.000000	0.550000	372.000000	372.000000	2.000000	2.000000	1.000000	-0.134999	0.142003	0.832303	0.841505
6491.349327	0.024829	0.003167	313.656433	0.109583	1.000000	0.400000	0.380000	1.000000	1.000000	2.000000	372.000000	0.388434	0.000000	0.681464	1.450000	2.550000	0.000000	0.550000	372.000000	372.000000	2.000000	2.000000	1.000000	-0.135005	0.141189	0.832299	0.841499
6491.352660	0.024829	0.003167	313.656433	0.109583	1.000000	0.400000	0.380000	1.000000	1.000000	2.000000	372.000000	0.388434	0.000000	0.681464	1.450000	2.550000	0.000000	0.550000	372.000000	372.000000	2.000000	2.000000	1.000000	-0.135005	0.141189	0.832299	0.841499
6491.355994	0.024829	0.003167	313.656433	0.109583	1.000000	0.400000	0.380000	1.000000	1.000000	2.000000	372.000000	0.388434	0.000000	0.681464	1.450000	2.550000	0.000000	0.550000	372.000000	372.000000	2.000000	2.000000	1.000000	-0.135005	0.141189	0.832299	0.841499
6491.359327	0.024834	0.000637	314.325653	0.109582	1.000000	0.400000	0.380000	1.000000	1.000000	2.000000	372.000000	0.388434	0.000000	0.681464	1.450000	2.550000	0.000000	0.550000	372.000000	372.000000	2.000000	2.000000	1.000000	-0.135010	0.140495	0.832293	0.841498
6491.362660	0.024834	0.000637	314.325653	0.109582	1.000000	0.400000	0.380000	1.000000	1.000000	2.000000	372.000000	0.388434	0.000000	0.681464	1.450000	2.550000	0.000000	0.550000	372.000000	372.000000	2.000000	2.000000	1.000000	-0.135010	0.140495	0.832293	0.841498
6491.365994	0.024834	0.000637	314.325653	0.109582	1.000000	0.400000	0.380000	1.000000	1.000000	2.000000	372.000000	0.388434	0.000000	0.681464	1.450000	2.550000	0.000000	0.550000	372.000000	372.000000	2.000000	2.000000	1.000000	-0.135010	0.140495	0.832293	0.841498
6491.369327	0.024834	-0.001678	314.880341	0.109582	1.000000	0.400000	0.380000	1.000000	1.000000	2.000000	372.000000	0.388434	0.000000	0.681464	1.450000	2.550000	0.000000	0.550000	372.000000	372.000000	2.000000	2.000000	1.000000	-0.135006	0.139972	0.832282	0.841504
6491.372660	0.024834	-0.001678	314.880341	0.109582	1.000000	0.400000	0.380000	1.000000	1.000000	2.000000	372.000000	0.388434	0.000000	0.681464	1.450000	2.550000	0.000000	0.550000	372.000000	372.000000	2.000000	2.000000	1.000000	-0.135006	0.139972	0.832282	0.841504
