Time	Left foot marker	Right foot marker	Left vertical force	Right vertical force	Success	Preferred left step length	Preferred Right step length	Left gain	Right gain	Constant	Stride Number	Right step length	Left step length	Sum of gains and steps	Lower bound success	Upper bound success	Score	Success Region	Left heel strike	Right heel strike	Left lateral position	Right lateral position
6810.984000	-0.248593	-0.269020	219.787384	166.478577	0.000000	0.350000	0.350000	1.000000	1.000000	2.000000	0.000000	0.000000	-1.172975	-1.303306	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	-0.218369	0.190086
6810.987334	-0.248593	-0.269020	219.787384	166.478577	0.000000	0.350000	0.350000	1.000000	1.000000	2.000000	0.000000	0.000000	-1.172975	-1.303306	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	-0.218369	0.190086
6810.990667	-0.248593	-0.269020	219.787384	166.478577	0.000000	0.350000	0.350000	1.000000	1.000000	2.000000	0.000000	0.000000	-1.172975	-1.303306	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	-0.218369	0.190086
6810.994000	-0.248586	-0.269049	220.886246	166.137161	0.000000	0.350000	0.350000	1.000000	1.000000	2.000000	0.000000	0.000000	-1.172975	-1.303306	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	-0.218349	0.190032
6810.997334	-0.248586	-0.269049	220.886246	166.137161	0.000000	0.350000	0.350000	1.000000	1.000000	2.000000	0.000000	0.000000	-1.172975	-1.303306	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	-0.218349	0.190032
6811.000667	-0.248586	-0.269049	220.886246	166.137161	0.000000	0.350000	0.350000	1.000000	1.000000	2.000000	0.000000	0.000000	-1.172975	-1.303306	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	-0.218349	0.190032
6811.004000	-0.248604	-0.268995	220.535019	165.572891	0.000000	0.350000	0.350000	1.000000	1.000000	2.000000	0.000000	0.000000	-1.172975	-1.303306	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	-0.218417	0.190137
6811.007334	-0.248604	-0.268995	220.535019	165.572891	0.000000	0.350000	0.350000	1.000000	1.000000	2.000000	0.000000	0.000000	-1.172975	-1.303306	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	-0.218417	0.190137
6811.010667	-0.248604	-0.268995	220.535019	165.572891	0.000000	0.350000	0.350000	1.000000	1.000000	2.000000	0.000000	0.000000	-1.172975	-1.303306	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	-0.218417	0.190137
6811.014000	-0.248595	-0.269025	221.406860	165.285507	0.000000	0.350000	0.350000	1.000000	1.000000	2.000000	0.000000	0.000000	-1.172975	-1.303306	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	-0.218309	0.190127
6811.017334	-0.248595	-0.269025	221.406860	165.285507	0.000000	0.350000	0.350000	1.000000	1.000000	2.000000	0.000000	0.000000	-1.172975	-1.303306	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	-0.218309	0.190127
6811.020667	-0.248595	-0.269025	221.406860	165.285507	0.000000	0.350000	0.350000	1.000000	1.000000	2.000000	0.000000	0.000000	-1.172975	-1.303306	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	-0.218309	0.190127
6811.024000	-0.248562	-0.269008	222.787491	165.925446	0.000000	0.350000	0.350000	1.000000	1.000000	2.000000	0.000000	0.000000	-1.172975	-1.303306	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	-0.218416	0.190142
6811.027334	-0.248562	-0.269008	222.787491	165.925446	0.000000	0.350000	0.350000	1.000000	1.000000	2.000000	0.000000	0.000000	-1.172975	-1.303306	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	-0.218416	0.190142
6811.030667	-0.248562	-0.269008	222.787491	165.925446	0.000000	0.350000	0.350000	1.000000	1.000000	2.000000	0.000000	0.000000	-1.172975	-1.303306	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	-0.218416	0.190142
6811.034000	-0.248573	-0.269009	222.904861	166.011230	0.000000	0.350000	0.350000	1.000000	1.000000	2.000000	0.000000	0.000000	-1.172975	-1.303306	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	-0.218406	0.190137
