Time	Left foot marker	Right foot marker	Left vertical force	Right vertical force	Success	Preferred left step length	Preferred Right step length	Left gain	Right gain	Constant	Stride Number	Right step length	Left step length	Sum of gains and steps	Lower bound success	Upper bound success	Score	Success Region	Left heel strike	Right heel strike	Short or long first	Feedback	Firework position	Left foot lateral position	Right foot lateral position
937.336463	0.016038	0.039445	150.177338	149.907532	0.000000	0.250000	0.230000	1.000000	1.000000	2.000000	0.000000	0.000000	0.634101	0.704556	1.500000	2.500000	0.000000	0.500000	0.000000	0.000000	1.000000	2.000000	1.000000	-0.151653	0.133160
937.339796	0.016038	0.039445	150.177338	149.907532	0.000000	0.250000	0.230000	1.000000	1.000000	2.000000	0.000000	0.000000	0.634101	0.704556	1.500000	2.500000	0.000000	0.500000	0.000000	0.000000	1.000000	2.000000	1.000000	-0.151653	0.133160
937.343130	0.016026	0.039449	150.046814	149.880020	0.000000	0.250000	0.230000	1.000000	1.000000	2.000000	0.000000	0.000000	0.634101	0.704556	1.500000	2.500000	0.000000	0.500000	0.000000	0.000000	1.000000	2.000000	1.000000	-0.151640	0.133173
937.346463	0.016026	0.039449	150.046814	149.880020	0.000000	0.250000	0.230000	1.000000	1.000000	2.000000	0.000000	0.000000	0.634101	0.704556	1.500000	2.500000	0.000000	0.500000	0.000000	0.000000	1.000000	2.000000	1.000000	-0.151640	0.133173
937.349796	0.016026	0.039449	150.046814	149.880020	0.000000	0.250000	0.230000	1.000000	1.000000	2.000000	0.000000	0.000000	0.634101	0.704556	1.500000	2.500000	0.000000	0.500000	0.000000	0.000000	1.000000	2.000000	1.000000	-0.151640	0.133173
937.353130	0.016043	0.039436	149.990585	150.010178	0.000000	0.250000	0.230000	1.000000	1.000000	2.000000	0.000000	0.000000	0.634101	0.704556	1.500000	2.500000	0.000000	0.500000	0.000000	0.000000	1.000000	2.000000	1.000000	-0.151640	0.133139
937.356463	0.016043	0.039436	149.990585	150.010178	0.000000	0.250000	0.230000	1.000000	1.000000	2.000000	0.000000	0.000000	0.634101	0.704556	1.500000	2.500000	0.000000	0.500000	0.000000	0.000000	1.000000	2.000000	1.000000	-0.151640	0.133139
937.359796	0.016043	0.039436	149.990585	150.010178	0.000000	0.250000	0.230000	1.000000	1.000000	2.000000	0.000000	0.000000	0.634101	0.704556	1.500000	2.500000	0.000000	0.500000	0.000000	0.000000	1.000000	2.000000	1.000000	-0.151640	0.133139
937.363130	0.016043	0.039436	149.990585	150.010178	0.000000	0.250000	0.230000	1.000000	1.000000	2.000000	0.000000	0.000000	0.634101	0.704556	1.500000	2.500000	0.000000	0.500000	0.000000	0.000000	1.000000	2.000000	1.000000	-0.151640	0.133139
937.366463	0.016052	0.039423	149.983429	150.259506	0.000000	0.250000	0.230000	1.000000	1.000000	2.000000	0.000000	0.000000	0.634101	0.704556	1.500000	2.500000	0.000000	0.500000	0.000000	0.000000	1.000000	2.000000	1.000000	-0.151653	0.133108
937.369796	0.016052	0.039423	149.983429	150.259506	0.000000	0.250000	0.230000	1.000000	1.000000	2.000000	0.000000	0.000000	0.634101	0.704556	1.500000	2.500000	0.000000	0.500000	0.000000	0.000000	1.000000	2.000000	1.000000	-0.151653	0.133108
937.373130	0.016041	0.039430	149.900467	150.520325	0.000000	0.250000	0.230000	1.000000	1.000000	2.000000	0.000000	0.000000	0.634101	0.704556	1.500000	2.500000	0.000000	0.500000	0.000000	0.000000	1.000000	2.000000	1.000000	-0.151675	0.133116
937.376463	0.016041	0.039430	149.900467	150.520325	0.000000	0.250000	0.230000	1.000000	1.000000	2.000000	0.000000	0.000000	0.634101	0.704556	1.500000	2.500000	0.000000	0.500000	0.000000	0.000000	1.000000	2.000000	1.000000	-0.151675	0.133116
937.379796	0.016041	0.039430	149.900467	150.520325	0.000000	0.250000	0.230000	1.000000	1.000000	2.000000	0.000000	0.000000	0.634101	0.704556	1.500000	2.500000	0.000000	0.500000	0.000000	0.000000	1.000000	2.000000	1.000000	-0.151675	0.133116
937.383130	0.016041	0.039430	149.900467	150.520325	0.000000	0.250000	0.230000	1.000000	1.000000	2.000000	0.000000	0.000000	0.634101	0.704556	1.500000	2.500000	0.000000	0.500000	0.000000	0.000000	1.000000	2.000000	1.000000	-0.151675	0.133116
937.386463	0.016031	0.039448	149.731033	150.685181	0.000000	0.250000	0.230000	1.000000	1.000000	2.000000	0.000000	0.000000	0.634101	0.704556	1.500000	2.500000	0.000000	0.500000	0.000000	0.000000	1.000000	2.000000	1.000000	-0.151691	0.133152
937.389796	0.016031	0.039448	149.731033	150.685181	0.000000	0.250000	0.230000	1.000000	1.000000	2.000000	0.000000	0.000000	0.634101	0.704556	1.500000	2.500000	0.000000	0.500000	0.000000	0.000000	1.000000	2.000000	1.000000	-0.151691	0.133152
937.393130	0.016024	0.039450	149.562576	150.658203	0.000000	0.250000	0.230000	1.000000	1.000000	2.000000	0.000000	0.000000	0.634101	0.704556	1.500000	2.500000	0.000000	0.500000	0.000000	0.000000	1.000000	2.000000	1.000000	-0.151680	0.133160
