Time	Left foot marker	Right foot marker	Left vertical force	Right vertical force	Success	Preferred left step length	Preferred Right step length	Left gain	Right gain	Constant	Stride Number	Right step length	Left step length	Sum of gains and steps	Lower bound success	Upper bound success	Score	Success Region	Left heel strike	Right heel strike	Left lateral position	Right lateral position	Left hip	Right hip
3215.447140	0.052555	0.024938	24.754635	160.900543	0.000000	0.380000	0.350000	1.000000	1.000000	2.000000	0.000000	0.000000	0.099209	0.110233	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	-0.170153	0.135725	0.733657	0.737934
3215.450474	0.052555	0.024861	15.195943	163.796417	0.000000	0.380000	0.350000	1.000000	1.000000	2.000000	0.000000	0.000000	0.099209	0.110233	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	-0.170102	0.135717	0.734028	0.737818
3215.453807	0.052555	0.024861	15.195943	163.796417	0.000000	0.380000	0.350000	1.000000	1.000000	2.000000	0.000000	0.000000	0.099209	0.110233	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	-0.170102	0.135717	0.734028	0.737818
3215.457140	0.052555	0.024861	15.195943	163.796417	0.000000	0.380000	0.350000	1.000000	1.000000	2.000000	0.000000	0.000000	0.099209	0.110233	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	-0.170102	0.135717	0.734028	0.737818
3215.460474	0.052555	0.024867	5.933239	166.376297	0.000000	0.380000	0.350000	1.000000	1.000000	2.000000	0.000000	0.000000	0.099209	0.110233	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	-0.170074	0.135714	0.734379	0.737699
3215.463807	0.052555	0.024867	5.933239	166.376297	0.000000	0.380000	0.350000	1.000000	1.000000	2.000000	0.000000	0.000000	0.099209	0.110233	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	-0.170074	0.135714	0.734379	0.737699
3215.467140	0.052555	0.024867	5.933239	166.376297	0.000000	0.380000	0.350000	1.000000	1.000000	2.000000	0.000000	0.000000	0.099209	0.110233	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	-0.170074	0.135714	0.734379	0.737699
3215.470474	0.052561	0.024932	0.304698	168.604401	0.000000	0.380000	0.350000	1.000000	1.000000	2.000000	0.000000	0.000000	0.099209	0.110233	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	-0.170085	0.135750	0.734684	0.737591
3215.473807	0.052561	0.024932	0.304698	168.604401	0.000000	0.380000	0.350000	1.000000	1.000000	2.000000	0.000000	0.000000	0.099209	0.110233	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	-0.170085	0.135750	0.734684	0.737591
3215.477140	0.052561	0.024932	0.304698	168.604401	0.000000	0.380000	0.350000	1.000000	1.000000	2.000000	0.000000	0.000000	0.099209	0.110233	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	-0.170085	0.135750	0.734684	0.737591
3215.480474	0.052575	0.024996	-2.044333	170.998245	0.000000	0.380000	0.350000	1.000000	1.000000	2.000000	0.000000	0.000000	0.099209	0.110233	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	-0.170136	0.135811	0.734975	0.737494
3215.483807	0.052575	0.024996	-2.044333	170.998245	0.000000	0.380000	0.350000	1.000000	1.000000	2.000000	0.000000	0.000000	0.099209	0.110233	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	-0.170136	0.135811	0.734975	0.737494
3215.487140	0.052575	0.024996	-2.044333	170.998245	0.000000	0.380000	0.350000	1.000000	1.000000	2.000000	0.000000	0.000000	0.099209	0.110233	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	-0.170136	0.135811	0.734975	0.737494
3215.490474	0.052594	0.025026	-2.084045	173.455261	0.000000	0.380000	0.350000	1.000000	1.000000	2.000000	0.000000	0.000000	0.099209	0.110233	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	-0.170207	0.135857	0.735216	0.737412
3215.493807	0.052594	0.025026	-2.084045	173.455261	0.000000	0.380000	0.350000	1.000000	1.000000	2.000000	0.000000	0.000000	0.099209	0.110233	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	-0.170207	0.135857	0.735216	0.737412
3215.497140	0.052594	0.025026	-2.084045	173.455261	0.000000	0.380000	0.350000	1.000000	1.000000	2.000000	0.000000	0.000000	0.099209	0.110233	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	-0.170207	0.135857	0.735216	0.737412
3215.500474	0.052614	0.025031	-1.224731	175.690826	0.000000	0.380000	0.350000	1.000000	1.000000	2.000000	0.000000	0.000000	0.099209	0.110233	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	-0.170274	0.135881	0.735429	0.737343
3215.503807	0.052614	0.025031	-1.224731	175.690826	0.000000	0.380000	0.350000	1.000000	1.000000	2.000000	0.000000	0.000000	0.099209	0.110233	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	-0.170274	0.135881	0.735429	0.737343
3215.507140	0.052614	0.025031	-1.224731	175.690826	0.000000	0.380000	0.350000	1.000000	1.000000	2.000000	0.000000	0.000000	0.099209	0.110233	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	-0.170274	0.135881	0.735429	0.737343
3215.510474	0.052626	0.025032	-0.375004	177.322739	0.000000	0.380000	0.350000	1.000000	1.000000	2.000000	0.000000	0.000000	0.099209	0.110233	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	-0.170309	0.135888	0.735696	0.737297
3215.513807	0.052626	0.025032	-0.375004	177.322739	0.000000	0.380000	0.350000	1.000000	1.000000	2.000000	0.000000	0.000000	0.099209	0.110233	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	-0.170309	0.135888	0.735696	0.737297
3215.517140	0.052626	0.025032	-0.375004	177.322739	0.000000	0.380000	0.350000	1.000000	1.000000	2.000000	0.000000	0.000000	0.099209	0.110233	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	-0.170309	0.135888	0.735696	0.737297
3215.520474	0.052616	0.025007	0.089778	178.253830	0.000000	0.380000	0.350000	1.000000	1.000000	2.000000	0.000000	0.000000	0.099209	0.110233	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	-0.170309	0.135878	0.735992	0.737266
3215.523807	0.052616	0.025007	0.089778	178.253830	0.000000	0.380000	0.350000	1.000000	1.000000	2.000000	0.000000	0.000000	0.099209	0.110233	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	-0.170309	0.135878	0.735992	0.737266
3215.527140	0.052616	0.025007	0.089778	178.253830	0.000000	0.380000	0.350000	1.000000	1.000000	2.000000	0.000000	0.000000	0.099209	0.110233	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	-0.170309	0.135878	0.735992	0.737266
3215.530474	0.052574	0.024959	0.234465	178.771072	0.000000	0.380000	0.350000	1.000000	1.000000	2.000000	0.000000	0.000000	0.099209	0.110233	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	-0.170273	0.135859	0.736255	0.737240
3215.533807	0.052574	0.024959	0.234465	178.771072	0.000000	0.380000	0.350000	1.000000	1.000000	2.000000	0.000000	0.000000	0.099209	0.110233	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	-0.170273	0.135859	0.736255	0.737240
3215.537140	0.052574	0.024959	0.234465	178.771072	0.000000	0.380000	0.350000	1.000000	1.000000	2.000000	0.000000	0.000000	0.099209	0.110233	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	-0.170273	0.135859	0.736255	0.737240
3215.540474	0.052510	0.024956	0.204100	179.072556	0.000000	0.380000	0.350000	1.000000	1.000000	2.000000	0.000000	0.000000	0.099209	0.110233	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	-0.170206	0.135867	0.736444	0.737216
3215.543807	0.052510	0.024956	0.204100	179.072556	0.000000	0.380000	0.350000	1.000000	1.000000	2.000000	0.000000	0.000000	0.099209	0.110233	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	-0.170206	0.135867	0.736444	0.737216
