subject_id,age,trial_type,condition,success_deltas,failure_deltas,success_mean,failure_mean,success_rate,n_success,n_failure
MUH451,9.916666666666666,vis1,max,"[-0.17298150000000012, -0.157899, -0.1688970000000003, 0.028927499999999995, 0.010251000000000232, 0.27154049999999996, 0.028253999999999557, -0.303264, -0.06019949999999952, -0.2782995000000006, -0.16748399999999997, -0.47939699999999985, -0.20698349999999976]","[0.09206100000000017, 0.2355315, 0.23337450000000004, 0.4120035000000002, 0.14424899999999985, 0.37066050000000006]",-0.1274178461538462,0.24798000000000006,0.6842105263157895,13,6
MUH451,9.916666666666666,vis1,min,"[0.0817905000000001, 0.07971000000000017, 0.038110499999999936, -0.12676200000000004, -0.04218600000000006, -0.08697899999999992, -0.19698149999999992, 0.061574999999999935, -0.08785949999999998, 0.019376999999999978, -0.036824999999999886, 0.11188799999999999, -0.2760404999999999, -0.29082150000000007, 0.20211900000000016]","[0.02711399999999986, -0.462591, 0.39861449999999987, 0.34908899999999976]",-0.03665899999999997,0.07805662499999988,0.7894736842105263,15,4
MUH451,9.916666666666666,invis,max,"[-0.8329964999999997, 0.10689599999999988, -0.18472050000000007, -0.09313199999999977, -0.24170400000000036, -0.4926210000000002, 0.096603, -0.11006399999999994, 0.16493099999999972, -0.3622095000000001, -0.07285800000000009]","[0.59199, 0.15307650000000006, 0.32103899999999985, 0.3606120000000006, 0.21472800000000003, 0.07267950000000001, 0.1687755000000002, 0.6160619999999999]",-0.1838068636363637,0.3123703125000001,0.5789473684210527,11,8
MUH451,9.916666666666666,invis,min,"[0.2963174999999998, -0.029648999999999814, -0.11781149999999996, 0.11536349999999995, -0.12008850000000004, 0.09243750000000017, -0.1635540000000002, 0.06793650000000007, -0.09780450000000007, 0.22126800000000024, 0.013951500000000117, -0.07297500000000023, -0.015647999999999884, 0.045274500000000106, -0.18768900000000022, 0.22884599999999988, -0.004165500000000044, 0.0455985000000001, -0.17410799999999993]",[],0.007552657894736844,,1.0,19,0
MUH451,9.916666666666666,vis2,max,"[0.0368864999999996, 0.32985750000000014, -0.3077429999999999, -0.20475600000000016, -0.058321499999999915, -0.20216549999999955, -0.15537150000000022, 0.33218400000000026, 0.022000499999999867, -0.2694239999999999, 0.5225220000000004, 0.10140450000000012, 0.5293679999999998]","[-0.38704950000000027, 0.3050100000000002, 0.22051799999999977, 0.3173999999999997, -0.7782210000000003, 0.11398049999999982]",0.052033961538461584,-0.034727000000000174,0.6842105263157895,13,6
MUH451,9.916666666666666,vis2,min,"[-0.08233499999999982, 0.06413099999999994, -0.061973999999999974, 0.19283249999999996, -0.11362800000000006, -0.09318599999999999, 0.19508400000000004, -0.2146245, 0.06915000000000004, -0.16302899999999987, 0.03556950000000003, -0.24398849999999994, -0.034951500000000024]","[-0.7480830000000003, 0.059979000000000005, 0.16137599999999996, 0.05456850000000002, 0.08720549999999982, 0.22822949999999986]",-0.034688423076923054,-0.0261207500000001,0.6842105263157895,13,6
MUH731,8.666666666666666,vis1,max,"[-0.10803750000000001, 0.28713450000000007, -0.09282600000000008, 0.13826099999999997, -0.21507599999999982, 0.06167699999999998, -0.13432200000000005, -0.020686500000000052, -0.01663950000000014, 0.17706750000000016, -0.15506850000000005, 0.12114149999999979]","[0.0827325000000001, 0.041941500000000076, 0.10872899999999985, -0.13172549999999994, -0.03918299999999997, 0.290667, -0.1895414999999998]",0.00355212499999998,0.02337428571428576,0.631578947368421,12,7
MUH731,8.666666666666666,vis1,min,"[-0.009287999999999741, 0.08837999999999968, 0.31372650000000024, -0.03869999999999996, 0.18056099999999997, -0.18896400000000013, 0.17386950000000012, -0.04869600000000007, 0.1497225000000002, -0.01361100000000004, 0.05023500000000003]","[0.2819010000000002, -0.33078450000000004, 0.008096999999999799, -0.2465655, -0.28329150000000003, 0.029036999999999757, -0.07913099999999984, -0.0984585]",0.05974868181818185,-0.08989950000000002,0.5789473684210527,11,8
MUH731,8.666666666666666,invis,max,"[-0.2082029999999997, 0.10875599999999963, -0.07302149999999985, -0.09035849999999979, -0.14785050000000055, 0.04746899999999954, -0.38132549999999954, -0.08764649999999996]","[0.15361350000000007, 0.05967300000000009, 0.31663650000000043, -0.056527500000000064, 0.6111960000000001, -0.356541, 0.0072704999999997355, -0.13868849999999977, -0.01850850000000026, 0.1315529999999998, 0.10164300000000015]",-0.10402256250000003,0.07375636363636366,0.42105263157894735,8,11
MUH731,8.666666666666666,invis,min,"[0.22556550000000009, 0.12291149999999984, 0.04398450000000009, -0.14998949999999978, -0.0609390000000003, -0.291774, -0.18183150000000015, 0.46529549999999986]","[-0.0021119999999998917, -0.18230849999999998, 0.21724349999999992, -0.3422204999999998, -0.002251500000000073, 0.020275500000000113, -0.21802500000000036, 0.1634730000000002, 0.5309280000000001, -0.11759849999999994, -0.23693849999999994]",0.02165287499999996,-0.015412227272727246,0.42105263157894735,8,11
MUH731,8.666666666666666,vis2,max,"[0.090306, 0.15108750000000004, -0.040529999999999955, -0.11194950000000015, 0.18655650000000001, -0.15190649999999994, 0.2190344999999998, -0.08669700000000002, -0.24987000000000004, -0.2132670000000001, 0.1141650000000003, -0.15247499999999992, -0.4155570000000002]","[0.15954749999999995, -0.4108995000000002, 0.30793050000000033, 0.3050519999999999, 0.12527700000000008, 0.08748749999999994]",-0.05085403846153847,0.0957325,0.6842105263157895,13,6
MUH731,8.666666666666666,vis2,min,"[-0.07242900000000008, -0.215727, -0.29266800000000015, 0.3159915000000002, -0.22518900000000008, 0.05952750000000018, -0.06280500000000022, -0.026797499999999808, -0.1215345000000001, 0.0847214999999999, -0.4498694999999999]","[0.3778920000000001, -0.16312649999999995, 0.13129349999999995, -0.21359400000000006, 0.17863049999999991, 0.24196949999999995, 0.5143005, 0.1653150000000001]",-0.09152536363636364,0.1540850625,0.5789473684210527,11,8
MUH994,9.083333333333334,vis1,max,"[0.12939749999999983, 0.0821550000000002, -0.3849119999999999, -0.06404400000000043, 0.3578520000000003, -0.30567450000000007, 0.3144975000000001, -0.006238500000000258, -0.3138899999999998, 0.1090485000000001, -0.15182700000000016, -0.20251200000000003, -0.3716145000000002, -0.47379000000000016, 0.00666000000000011, -0.21520800000000007]","[0.1937565000000001, 0.34326600000000007, 0.8572830000000002]",-0.09313125000000003,0.46476850000000014,0.8421052631578947,16,3
MUH994,9.083333333333334,vis1,min,"[0.022791000000000228, -0.11946450000000008, 0.02144999999999997, -0.2017230000000001, -0.13550700000000004, 0.3604335000000001, 0.019206000000000056, -0.021024000000000154, -0.15955350000000013, 0.13206900000000021, -0.29656800000000016, 0.14639100000000016, -0.3401414999999999, -0.03415500000000016, 0.03516150000000007, 0.6612449999999999, 0.007656000000000107, 0.15601650000000022]",[0.3662430000000001],0.014126833333333347,0.3662430000000001,0.9473684210526315,18,1
MUH994,9.083333333333334,invis,max,"[-0.1170795, 0.06839850000000025, 0.17195250000000017, -0.23381850000000037, 0.04304249999999987, 0.0704880000000001, -0.12583199999999994, 0.09832799999999997, 0.31503000000000014, -0.0807945000000001, -0.05667, 0.001010999999999651, -0.06339899999999954, 0.05581949999999969, -0.033895499999999856, 0.09084000000000003, -0.1272059999999997, -0.0023325000000000706, -0.30262650000000013]",[],-0.012039157894736833,,1.0,19,0
MUH994,9.083333333333334,invis,min,"[0.38682149999999993, -0.010483500000000312, -0.17848499999999978, 0.12090899999999993, -0.0683895000000001, -0.15029249999999994, 0.321129, -0.542157, 0.3585720000000001, 0.14182950000000005, 0.1319865, 0.29885850000000014, 0.07305150000000005, -0.04055549999999997, 0.06053849999999983, -0.21675600000000017]","[1.6338555000000001, -0.29114850000000025, -0.13315199999999994]",0.042911062499999986,0.40318499999999996,0.8421052631578947,16,3
MUH994,9.083333333333334,vis2,max,"[0.2521439999999999, -0.44604599999999994, 0.106074, -0.7254314999999998, -0.245463, 0.021640500000000173, -0.052502999999999744, 0.08034299999999961, -0.386223]","[-0.37708049999999993, 0.22140749999999998, -0.007088999999999901, 0.28048949999999984, 0.3622844999999999, 0.6076154999999999, 0.11727600000000016, 0.1010415, -0.16768500000000008, 0.22262249999999995]",-0.15505166666666664,0.13608824999999997,0.47368421052631576,9,10
MUH994,9.083333333333334,vis2,min,"[0.32941049999999983, -0.11682300000000012, 0.13679250000000032, -0.15948450000000003, 0.22016100000000005, -0.31422450000000013, 0.41677350000000035, -0.15414600000000034, 0.01384950000000007, 0.054247500000000226, 0.02017049999999987, -0.029784000000000255, -0.029086499999999793, 0.0729105000000001, 0.07692750000000004, -0.10683900000000013, 0.07137599999999988]","[-0.1472340000000001, -0.07192799999999999]",0.029543029411764704,-0.10958100000000004,0.8947368421052632,17,2
MUH1034,8.166666666666666,vis1,max,"[0.5609594999999996, 1.1929725000000002, -0.07219799999999976, 0.11161049999999983, -0.07989449999999998]","[-1.089696, -0.7746434999999998, 0.7414964999999998, -0.10919699999999954, 0.460839, -0.599043, 0.8037749999999999, -2.2901160000000003, 0.030094500000000135, -0.007502999999999815, 0.619812, -0.2315640000000001, 0.029146499999999964, -0.31055100000000024]",0.34269,-0.19479642857142856,0.2631578947368421,5,14
MUH1034,8.166666666666666,vis1,min,"[0.2476514999999999, 0.038261999999999796, 0.4996275000000001]","[-0.07570199999999971, 0.01903200000000016, -0.5729520000000003, 0.5079825, -0.23106899999999997, -0.13148099999999974, 0.5165624999999998, 0.16146600000000033, -0.9074520000000001, -0.23649600000000004, -0.0750839999999997, -0.7452015000000003, -0.3019559999999999, 1.5293024999999998, -0.0564420000000001, 0.3467085000000001]",0.26184699999999994,-0.01579884375,0.15789473684210525,3,16
MUH1034,8.166666666666666,invis,max,"[-0.046290000000000386, -0.013925999999999661, 0.10647299999999982, 0.21156750000000013, 0.4067415000000003, -0.12743550000000026, -0.028855500000000145, -0.4284105]","[0.09269250000000007, -0.9832545000000001, 0.6882839999999999, -1.0516935000000003, 0.36672300000000035, 0.37033950000000004, 0.15356700000000023, -0.08460750000000017, 0.6116325000000002, -0.47564399999999996, -0.10276350000000045]",0.009983062499999973,-0.03770222727272729,0.42105263157894735,8,11
MUH1034,8.166666666666666,invis,min,"[0.4327245000000002, 0.41010599999999986, 0.5960399999999999, 0.23419349999999994, 0.4120919999999999]","[-0.4905584999999999, 0.17898300000000011, 0.3264855, -0.010695000000000121, -0.34210350000000034, -0.4055114999999998, -0.5904764999999998, 0.48947399999999996, 0.32276250000000006, -0.6447615, -0.24643950000000014, 0.3642720000000006, -0.5118630000000004, -0.43448699999999985]",0.41703119999999994,-0.14249421428571427,0.2631578947368421,5,14
MUH1034,8.166666666666666,vis2,max,"[-0.46316250000000014, -0.1544249999999998, -0.3934620000000004, -0.5287604999999997, -0.24634499999999981, -0.2789564999999996]","[0.1456544999999998, 0.17800650000000018, -0.049561499999999814, 0.12733799999999995, 0.33909449999999985, 0.3288915000000001, 0.3462839999999998, 0.044789999999999885, -0.10184399999999982, 0.24463349999999995, 0.3140564999999995, -0.0462975000000001, -0.314937]",-0.34418524999999994,0.11970069230769226,0.3157894736842105,6,13
MUH1034,8.166666666666666,vis2,min,"[-0.16287000000000007, 0.24923850000000036, -0.5623305000000001, -0.11992650000000005, -0.5635874999999999, -0.6541815, 0.43566600000000033]","[-0.17704200000000014, 1.1467500000000002, -0.4753215000000002, 0.9942765, -0.0865950000000002, -0.1846859999999999, 1.0007039999999998, -0.7776164999999997, 0.22382849999999976, 0.3532244999999996, -0.0630149999999996, 0.4577429999999998]",-0.19685592857142847,0.20102087499999996,0.3684210526315789,7,12
MUH1037,13.333333333333334,vis1,max,"[0.017821500000000157, -0.14069550000000053, -0.07264949999999981, 0.22001850000000012, -0.0034290000000001264, -0.07041900000000023, -0.004376999999999853, -0.05285099999999998, 0.06566400000000039, 0.058783499999999655, -0.1313789999999999, 0.07647000000000004, -0.13542299999999985, -0.07698150000000004]","[0.0920040000000002, 0.19090349999999967, -0.2634105, 0.045400499999999955, 0.13864199999999993]",-0.017817642857142855,0.04070789999999995,0.7368421052631579,14,5
MUH1037,13.333333333333334,vis1,min,"[0.14581050000000007, 0.06512699999999993, 0.056301000000000156, -0.11835450000000014, 0.019074000000000257, -0.08775600000000017, 0.04771950000000014, 0.13024499999999994, -0.08265450000000008]","[-0.16896899999999992, -0.063477, 0.046061999999999825, 0.03534450000000011, -0.06983549999999994, -0.02662500000000012, -0.007243499999999958, -0.011707499999999982, -0.05503499999999972, -0.12177600000000033]",0.019501333333333346,-0.0443262,0.47368421052631576,9,10
MUH1037,13.333333333333334,invis,max,"[0.036268499999999815, -0.005449500000000107, 0.0867720000000003, 0.18410400000000005, 0.1553040000000001, 0.0978675, -0.06326849999999995, -0.02861400000000014, -0.0596445000000001, 0.020095500000000044, -0.058116000000000057, -0.09903900000000032, -0.015221999999999625, 0.021622499999999434, -0.025580999999999854]","[-0.2862990000000001, -0.001555500000000265, -0.2794859999999999, 0.22287450000000053]",0.016473299999999972,-0.08611649999999993,0.7894736842105263,15,4
MUH1037,13.333333333333334,invis,min,"[-0.03371400000000002, 0.0654720000000002, -0.01339350000000028, -0.03796949999999977, 0.1063425, -0.055552500000000116, 0.04800599999999999, 0.12670800000000026, 0.16311900000000001, -0.16372799999999987, 0.19565699999999975, -0.09780899999999981, -0.03717149999999991, 0.0704714999999998, -0.05335500000000004, 0.04342950000000001, 0.020433000000000145]","[-0.2333924999999999, -0.08828250000000026]",0.020408558823529432,-0.16083750000000008,0.8947368421052632,17,2
MUH1037,13.333333333333334,vis2,max,"[-0.004723500000000325, -0.08741999999999983, 0.04648199999999969, -0.05968499999999999, -0.02630549999999987, -0.3953924999999998, -0.10065149999999967, 0.14210849999999997, -0.08848049999999974, 0.03283199999999953, -0.023956499999999714, 0.05022299999999991, -0.06698250000000039, 0.0055875000000003006, -0.09680400000000011, 0.0858945000000002, 0.07579350000000007, -0.12848700000000024]",[0.4847189999999997],-0.03555375,0.4847189999999997,0.9473684210526315,18,1
MUH1037,13.333333333333334,vis2,min,"[0.184326, 0.04340250000000001, -0.06041099999999977, 0.015409499999999854, -0.05381400000000003, 0.024551999999999907, -0.023572499999999996, 0.07752899999999996, -0.06611549999999977, -0.03582150000000017, 0.028144500000000017, 0.046321499999999904, 0.06421199999999994, -0.12175349999999963, 0.06442799999999993, 0.03950699999999996, -0.026580000000000048, 0.07753500000000013]",[-0.1373025000000001],0.01540550000000001,-0.1373025000000001,0.9473684210526315,18,1
MUH1048,11.5,vis1,max,"[0.167103, 0.417621, 0.19920150000000003, 0.1707570000000005, -0.3585855000000002, -0.15579299999999963]","[0.22967249999999995, 0.7269899999999998, -0.05173649999999963, -0.18419249999999998, -0.0026204999999999146, -0.4698855000000004, 0.41070000000000007, -0.15443549999999995, -0.08936849999999996, -0.4937355000000001, -0.3406545000000003, 0.023282999999999943, 0.37187099999999984]",0.07338400000000012,-0.0018548076923077422,0.3157894736842105,6,13
MUH1048,11.5,vis1,min,[],"[0.1258634999999999, 0.08222400000000007, -0.020890500000000145, 0.14020950000000054, -0.18430500000000016, 0.14285849999999956, -0.4627979999999996]",,-0.025262571428571405,0.0,0,7
MUH1048,11.5,invis,max,"[-0.0676275000000004, 0.0010890000000003397, 0.05744399999999983, 0.039139500000000105, -0.19874999999999998, -0.09620850000000036, 0.04150499999999946, 0.052364999999999995, -0.09081150000000049, -0.009083999999999648, 0.06050849999999963, -0.025885499999999784, 0.002815500000000082, 0.03587549999999995, -0.04318650000000002, 0.15187050000000024]","[0.23242200000000057, -0.0875954999999995, -0.3134445000000001]",-0.0055588125000000654,-0.05620599999999968,0.8421052631578947,16,3
MUH1048,11.5,invis,min,"[0.1804515000000002, 0.3647624999999999, 0.021234000000000197, 0.15185099999999974, 0.1529235000000002, 0.2461485000000001]","[0.4943835000000001, -1.1863725000000003, 0.37200900000000003, 0.10867799999999983, -0.2352584999999996, -0.24713399999999996, 0.03896999999999995, 0.1467719999999999, 0.03062100000000001, -0.18399749999999981, -0.00028050000000012787, -0.16013100000000002, -0.15595650000000028]",0.18622850000000005,-0.07520746153846156,0.3157894736842105,6,13
MUH1048,11.5,vis2,max,"[-0.08404949999999989, 0.057396000000000225, 0.10857150000000004, -0.009088499999999833, -0.06646049999999981, 0.18544649999999985, -0.27175199999999977, 0.07067099999999948, -0.029158499999999865, 0.10412250000000034, 0.05842199999999975, 0.0007589999999999542, 0.07101600000000019, -0.062022000000000244, -0.0659114999999999, -0.09444300000000005, -0.1100954999999999]","[-0.15240000000000054, 0.03979800000000022]",-0.008033911764705848,-0.056301000000000156,0.8947368421052632,17,2
MUH1048,11.5,vis2,min,"[0.36151050000000007, 0.29246099999999986, 0.1943490000000001, 0.3374325, 0.07092600000000004, 0.0990359999999999, -0.15841649999999996, 0.10774499999999998, -0.004688999999999943]","[-0.45355199999999973, -0.1852545000000001, 0.03930750000000005, -0.19304850000000018, -0.17347199999999985, -0.30021300000000006, -0.3909465000000001, 0.04041450000000002, -0.4052055000000001, 0.14652900000000013]",0.14448383333333334,-0.1875441,0.47368421052631576,9,10
MUH1064,10.75,vis1,max,"[-0.28751100000000007, 0.16937250000000015, -0.4306110000000003, 0.16995299999999958, -0.2321939999999998, -0.16161599999999998, -0.35663699999999965]","[0.1442939999999997, 1.040775000000001, -0.6230535000000001, -0.24389700000000047, 0.3584940000000003, 0.028743000000000407, -0.5452094999999999, 0.3816149999999996, 0.07157400000000003, 0.12039, -0.00020549999999985857, 0.16002899999999975]",-0.1613205,0.07446237500000003,0.3684210526315789,7,12
MUH1064,10.75,vis1,min,"[0.01785749999999986, 0.03442050000000041, -0.02415300000000009, -0.4060650000000001, -0.08570100000000003, 0.12203550000000019, 0.05532299999999979, -0.2994810000000001, 0.11172150000000025, 0.1546694999999998, -0.21388350000000012, 0.05657850000000009, -0.020915999999999713, -0.009889500000000329, 0.068187, -0.02702099999999996, -0.01215300000000008, 0.02336100000000041, -0.060430500000000276]",[],-0.027133657894736846,,1.0,19,0
