Time	Left foot marker	Right foot marker	Left vertical force	Right vertical force	Stride length	Right step length	Left step length	Right preferred step length	Left preferred step length	Right heel strike	Left heel strike	Left hip	Right hip
6201.161447	0.000000	0.000000	235.559494	29.738005	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.164781	0.000000	0.000000	235.583588	29.623062	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.168114	0.000000	0.000000	235.583588	29.623062	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.171447	0.000000	0.000000	235.583588	29.623062	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.174781	0.000000	0.000000	235.579620	29.743616	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.178114	0.000000	0.000000	235.579620	29.743616	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.181447	0.000000	0.000000	235.579620	29.743616	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.184781	0.000000	0.000000	235.223694	30.028620	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.188114	0.000000	0.000000	235.223694	30.028620	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.191447	0.000000	0.000000	235.223694	30.028620	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.194781	0.000000	0.000000	235.173355	29.969961	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.198114	0.000000	0.000000	235.173355	29.969961	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.201447	0.000000	0.000000	235.173355	29.969961	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.204781	0.000000	0.000000	234.675964	29.653275	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.208114	0.000000	0.000000	234.675964	29.653275	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.213983	0.000000	0.000000	234.690567	29.666904	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.217316	0.000000	0.000000	234.690567	29.666904	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.220649	0.000000	0.000000	234.690567	29.666904	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.223983	0.000000	0.000000	234.748138	29.671356	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.227316	0.000000	0.000000	234.748138	29.671356	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.230649	0.000000	0.000000	234.748138	29.671356	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.233983	0.000000	0.000000	234.807861	29.631861	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.237316	0.000000	0.000000	234.807861	29.631861	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.240649	0.000000	0.000000	234.807861	29.631861	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.243983	0.000000	0.000000	234.763565	29.617167	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.247316	0.000000	0.000000	234.763565	29.617167	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.250649	0.000000	0.000000	234.763565	29.617167	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.253983	0.000000	0.000000	234.618454	30.282551	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.257316	0.000000	0.000000	234.618454	30.282551	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.260649	0.000000	0.000000	234.618454	30.282551	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.263983	0.000000	0.000000	234.664886	30.368196	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.267316	0.000000	0.000000	234.664886	30.368196	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.270649	0.000000	0.000000	234.664886	30.368196	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.273983	0.000000	0.000000	235.308044	31.561586	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.277316	0.000000	0.000000	235.308044	31.561586	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.280649	0.000000	0.000000	235.308044	31.561586	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.283983	0.000000	0.000000	235.272812	31.579651	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.287316	0.000000	0.000000	235.272812	31.579651	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.290649	0.000000	0.000000	235.272812	31.579651	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.293983	0.000000	0.000000	235.108902	31.616537	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.297316	0.000000	0.000000	235.108902	31.616537	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.300649	0.000000	0.000000	235.108902	31.616537	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.303983	0.000000	0.000000	234.673859	31.683037	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.307316	0.000000	0.000000	234.673859	31.683037	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.310649	0.000000	0.000000	234.673859	31.683037	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.313983	0.000000	0.000000	234.057159	31.831972	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.317316	0.000000	0.000000	234.057159	31.831972	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.320649	0.000000	0.000000	234.057159	31.831972	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.323983	0.000000	0.000000	233.520096	32.114044	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.327316	0.000000	0.000000	233.520096	32.114044	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.330649	0.000000	0.000000	233.520096	32.114044	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.333983	0.000000	0.000000	233.206467	32.510838	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.337316	0.000000	0.000000	233.206467	32.510838	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.340649	0.000000	0.000000	233.206467	32.510838	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.343983	0.000000	0.000000	233.019348	32.962666	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.347316	0.000000	0.000000	233.019348	32.962666	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.350649	0.000000	0.000000	233.019348	32.962666	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.353983	0.000000	0.000000	232.862030	33.481243	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.357316	0.000000	0.000000	232.862030	33.481243	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.360649	0.000000	0.000000	232.862030	33.481243	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.363983	0.000000	0.000000	232.742889	34.114250	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.367316	0.000000	0.000000	232.742889	34.114250	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.370649	0.000000	0.000000	232.742889	34.114250	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.373983	0.000000	0.000000	230.008209	35.219906	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.377316	0.000000	0.000000	230.008209	35.219906	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.380649	0.000000	0.000000	230.008209	35.219906	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.383983	0.000000	0.000000	225.771637	34.471565	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.387316	0.000000	0.000000	225.771637	34.471565	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.390649	0.000000	0.000000	225.771637	34.471565	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.393983	0.000000	0.000000	222.081406	36.830822	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.397316	0.000000	0.000000	222.081406	36.830822	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.400649	0.000000	0.000000	222.081406	36.830822	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.403983	0.000000	0.000000	222.249161	37.018070	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.407316	0.000000	0.000000	222.249161	37.018070	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
