subject_id,age,vis1_sr,vis1_sr_max,vis1_sr_min,invis_sr,invis_sr_max,invis_sr_min,vis2_sr,vis2_sr_max,vis2_sr_min,vis1_msl,vis1_msl_max,vis1_msl_min,invis_msl,invis_msl_max,invis_msl_min,vis2_msl,vis2_msl_max,vis2_msl_min,vis1_sd,vis1_sd_max,vis1_sd_min,invis_sd,invis_sd_max,invis_sd_min,vis2_sd,vis2_sd_max,vis2_sd_min,vis1_learning,vis1_learning_max,vis1_learning_min,invis_learning,invis_learning_max,invis_learning_min,vis2_learning,vis2_learning_max,vis2_learning_min
MUH451,9.916666666666666,0.8690476190476191,0.7,0.8,0.8341584158415841,0.35,1.0,0.7307692307692307,0.65,0.7,2.0695657202380953,2.22300015,1.5766950750000002,1.9139487215346536,1.9560748499999998,1.6203280500000001,1.9912111538461532,2.35902765,1.4235198749999998,0.3373240453339965,0.19997712553354835,0.17121669442023302,0.4500385398297149,0.37769418638106583,0.09483525047291502,0.4049460438610109,0.23746591671671094,0.16223326450871478,,0.5575003749999997,1.0582623125,,-0.1098128750000005,0.9491798749999999,,0.8975691249999997,1.4412003125000008
MUH731,8.666666666666666,0.8015873015873016,0.65,0.6,0.7623762376237624,0.45,0.45,0.5,0.65,0.55,2.0425710535714288,2.348064,1.7285910000000002,1.9810235792079205,2.242976025,1.694085,1.9101011923076925,2.33184405,1.575134925,0.20306028024367923,0.12949263886323095,0.1348417831068967,0.3056480650872958,0.15431680780156493,0.1976876142757877,0.4171963965892796,0.17068113483496064,0.1772394529755895,,0.87016,0.6785224999999996,,0.6074400624999999,0.7647875000000001,,0.8296101250000001,1.0621626875000003
MUH994,9.083333333333334,0.9087301587301587,0.8,0.9,0.9257425742574258,1.0,0.85,0.6794871794871795,0.45,0.9,1.9558010714285714,2.055400125,1.5270427500000001,1.9779396646039602,2.2187579250000002,1.7754756,1.858627076923077,2.1018551249999997,1.709173425,0.37001316340036433,0.2080656247435356,0.2836650212188526,0.27337836688737044,0.13466732414256163,0.4651101045265802,0.42480152791299475,0.25365224519247,0.11469643438365049,,0.13850031249999953,1.182393125,,0.5468948125000007,0.561311,,0.25463781249999934,0.7270664375000003
MUH1002,12.583333333333334,,,,0.6924603174603174,0.35,0.4,0.46153846153846156,0.4,0.5,,,,1.9899045178571428,2.24085195,1.669500975,1.927475923076923,2.325057825,1.6558941749999998,,,,0.3299921417077496,0.4029822575931424,0.11046206174346813,0.41681618353500716,0.20261700328668283,0.19620334564052047,,,,,0.6021298750000005,0.8262475625000001,,0.8126445625000003,0.8602645625000007
MUH1015,9.75,,,,,,,0.20512820512820512,0.05,0.0,,,,,,,1.995200269230769,2.1286005749999997,2.000778,,,,,,,0.26981657518703384,0.101723421415139,0.12575575154095966,,,,,,,,0.3215014374999992,-0.001944999999999864
MUH1016,11.083333333333334,,,,,,,0.28205128205128205,0.2,0.0,,,,,,,2.0526957692307692,2.1925608,2.105384475,,,,,,,0.2762802993668302,0.11530836398343726,0.1234821995548639,,,,,,,,0.4814019999999998,-0.2634611875000004
MUH1017,12.416666666666666,,,,,,,0.16666666666666666,0.3,0.0,,,,,,,2.1662650192307686,2.215026675,2.2052694749999997,,,,,,,0.35042849466705717,0.24100286071114302,0.2935737227463386,,,,,,,,0.5375666874999997,-0.5131736874999994
MUH1026,15.166666666666666,,,,0.5634920634920635,0.6,0.0,0.4358974358974359,0.4,0.2,,,,2.0066741904761907,2.3601807749999995,1.3755928499999999,1.9717699807692304,2.2335337500000003,1.7568444749999998,,,,0.6339340114493406,0.12865194827410512,0.9663416100694318,0.3694325776498898,0.34778183999419804,0.15901710440617084,,,,,0.9004519374999989,1.5610178750000008,,0.5838343750000009,0.6078888125000005
MUH1027,16.666666666666668,,,,0.6408730158730159,0.65,0.2,0.46153846153846156,0.7,0.0,,,,2.0606698482142853,2.36706,1.8876550499999998,1.9508182500000004,2.2555338,1.7826248999999996,,,,0.4255355460658895,0.3496940484142042,0.20189529219042046,0.4463478863392738,0.37609703403665445,0.3726529341903804,,,,,0.9176500000000001,0.2808623750000006,,0.6388344999999996,0.543437750000001
MUH1029,9.666666666666666,,,,0.5119047619047619,0.15,0.1,0.1282051282051282,0.05,0.05,,,,1.7836258154761904,1.8738812999999996,1.82467185,1.6415806538461537,1.68990195,1.6044686250000002,,,,0.44272210591537964,0.4091032289223846,0.40346650743845097,0.6013441817730406,0.6317635772720491,0.5296675818165499,,,,,-0.31529675000000096,0.4383203749999999,,-0.775245125,0.9888284374999997
MUH1034,8.166666666666666,0.4246031746031746,0.3,0.15,0.5891089108910891,0.4,0.25,0.2564102564102564,0.3,0.35,2.156774654761905,2.5879591500000005,1.8860052749999994,2.127975571782178,2.3176365,1.8056246999999999,1.9262241153846158,2.155959225,1.7495056500000001,0.5505580196618481,0.660486020157985,0.44734008945077597,0.4663734532437791,0.3019864769319368,0.29686550631448017,0.49019521115963305,0.1862739496866231,0.4480854793308826,,1.4698978750000016,0.28498681250000163,,0.7940912499999999,0.48593825000000046,,0.3898980625000005,0.6262358749999998
MUH1036,7.833333333333333,0.7420634920634921,0.5,0.9,0.7029702970297029,0.85,0.8,,,,2.0212339166666666,2.2676087250000005,1.613431275,2.09488840470297,2.3788962000000002,1.6506383249999999,,,,0.2923581382582971,0.18245372889018616,0.13405946322959542,0.3363113326154369,0.10241019974456178,0.17201113802632814,,,,,0.6690218125000015,0.9664218125000004,,0.9472405000000008,0.8734041875000006,,,
MUH1037,13.333333333333334,0.8492063492063492,0.75,0.5,0.7797029702970297,0.8,0.9,0.8846153846153846,0.95,0.9,1.9395682321428571,2.3245877999999998,1.7276233500000004,2.0565468267326734,2.400926775,1.645420575,1.9972449038461537,2.3555807250000003,1.6664373749999999,0.309320091574389,0.09441921739486034,0.10751756319919135,0.3045488653071122,0.1078075439165938,0.07142577985247031,0.3366831500328452,0.1133363960363682,0.055933027661112855,,0.8114694999999996,0.680941624999999,,1.0023169374999998,0.8864485625000004,,0.8889518125000009,0.8339065625000005
MUH1038,7.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUH1040,8.25,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
MUH1041,10.666666666666666,,,,0.6130952380952381,0.4,0.1,0.28205128205128205,0.2,0.15,,,,2.268950544642857,2.4636847499999996,1.929237975,1.956034461538461,2.241831375,1.6400388,,,,0.483923511434187,0.21466752913612228,0.584740777073808,0.5627333524198764,0.4959131683097056,0.6657629291434515,,,,,1.1592118749999993,0.17690506250000018,,0.6045784374999997,0.8999030000000005
MUH1042,15.666666666666666,,,,0.8472222222222222,0.95,0.7,0.6794871794871795,0.7,0.85,,,,1.9982029761904763,2.3915131499999998,1.6415707499999996,1.9868781153846151,2.3802929999999995,1.648263975,,,,0.2904086197389453,0.05591941547490696,0.0800765474130354,0.3749810754311123,0.08781594929588156,0.06214933406373016,,,,,0.9787828749999996,0.8960731250000011,,0.9507324999999991,0.8793400625
MUH1043,9.5,,,,0.5912698412698413,0.25,0.05,0.15384615384615385,0.2,0.15,,,,2.0569786785714284,2.0327841,2.0051037000000003,1.9602620384615381,2.1938474999999995,1.862142225,,,,0.3283157159957881,0.45595044583359906,0.2731699456086382,0.42908252483598286,0.20631205381756312,0.3225576879466874,,,,,0.08196025000000053,-0.01275925000000067,,0.4846187499999989,0.34464443750000023
MUH1046,10.166666666666666,,,,,,,0.21794871794871795,0.2,0.1,,,,,,,1.9853835384615381,2.22986415,1.8931041,,,,,,,0.40136196196465285,0.3863708322734609,0.248611673519197,,,,,,,,0.5746603750000002,0.26723975000000016
MUH1048,11.5,0.5,0.3,0.15,0.6806930693069307,0.8,0.3,0.5641025641025641,0.85,0.5,2.0278534345238093,2.1703143749999994,1.58190885,2.0664777957920792,2.4315042,1.794815775,2.0599080961538463,2.394834225,1.7277068249999998,0.40351632230119105,0.5783991716588593,0.46005337530600726,0.35953804271228285,0.08925175398046517,0.23647120272842587,0.331430556336928,0.10289254179654912,0.20856319448249752,,0.4257859374999985,1.0452278750000001,,1.0787605000000002,0.5129605625000001,,0.9870855624999999,0.6807329375000005
MUH1049,9.416666666666666,,,,0.6150793650793651,0.1,0.65,0.24358974358974358,0.1,0.25,,,,1.9898947857142857,2.071970025,1.629121275,1.9546338461538464,2.277058275000001,1.7684875500000001,,,,0.33917417607499667,0.25680967815641603,0.16403380077485274,0.5829185993404687,0.668289567446223,0.33534071464599535,,,,,0.17992506250000043,0.9271968125000004,,0.6926456875000021,0.5787811249999998
MUH1050,11.5,,,,0.5317460317460317,0.15,0.15,0.1794871794871795,0.2,0.2,,,,2.000581613095238,2.1876876000000003,1.8677335499999999,1.8150640769230768,2.067540675,1.8091471500000005,,,,0.42705150855541363,0.36387898769391364,0.6612293826666613,0.4293336136120288,0.4043537273649174,0.20671454534028189,,,,,0.46921900000000083,0.3306661250000004,,0.16885168750000015,0.4771321249999989
MUH1052,16.25,,,,0.6547619047619048,0.85,0.0,0.34615384615384615,0.7,0.0,,,,2.1329577529761905,2.33679555,2.100516075,2.1580957115384614,2.29394565,2.140688625,,,,0.1365740224732938,0.1032253469849109,0.249918664044834,0.3327412017738695,0.09025321063746732,0.18351038494634198,,,,,0.8419888750000006,-0.2512901874999996,,0.734864125,-0.35172156250000036
