Time	Left foot marker	Right foot marker	Left vertical force	Right vertical force	Success	Preferred left step length	Preferred Right step length	Left gain	Right gain	Constant	Stride Number	Right step length	Left step length	Sum of gains and steps	Lower bound success	Upper bound success	Score	Success Region	Left heel strike	Right heel strike	Short or long first	Feedback	Firework position	Left foot lateral position	Right foot lateral position	Left hip	Right hip
6619.779958	0.078193	-0.013520	125.227341	114.186089	0.000000	0.350000	0.360000	1.000000	1.000000	2.000000	0.000000	0.000000	0.140082	0.155647	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	1.000000	2.000000	1.000000	-0.195050	0.245149	0.719529	0.739492
6619.783292	0.078188	-0.013509	125.043266	114.753731	0.000000	0.350000	0.360000	1.000000	1.000000	2.000000	0.000000	0.000000	0.140082	0.155647	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	1.000000	2.000000	1.000000	-0.195039	0.245166	0.719541	0.739555
6619.786625	0.078188	-0.013509	125.043266	114.753731	0.000000	0.350000	0.360000	1.000000	1.000000	2.000000	0.000000	0.000000	0.140082	0.155647	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	1.000000	2.000000	1.000000	-0.195039	0.245166	0.719541	0.739555
6619.789958	0.078188	-0.013509	125.043266	114.753731	0.000000	0.350000	0.360000	1.000000	1.000000	2.000000	0.000000	0.000000	0.140082	0.155647	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	1.000000	2.000000	1.000000	-0.195039	0.245166	0.719541	0.739555
6619.793292	0.078180	-0.013497	124.745102	115.024178	0.000000	0.350000	0.360000	1.000000	1.000000	2.000000	0.000000	0.000000	0.140082	0.155647	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	1.000000	2.000000	1.000000	-0.195027	0.245180	0.719537	0.739618
6619.796625	0.078180	-0.013497	124.745102	115.024178	0.000000	0.350000	0.360000	1.000000	1.000000	2.000000	0.000000	0.000000	0.140082	0.155647	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	1.000000	2.000000	1.000000	-0.195027	0.245180	0.719537	0.739618
6619.799958	0.078180	-0.013497	124.745102	115.024178	0.000000	0.350000	0.360000	1.000000	1.000000	2.000000	0.000000	0.000000	0.140082	0.155647	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	1.000000	2.000000	1.000000	-0.195027	0.245180	0.719537	0.739618
6619.803292	0.078178	-0.013485	123.889824	114.993118	0.000000	0.350000	0.360000	1.000000	1.000000	2.000000	0.000000	0.000000	0.140082	0.155647	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	1.000000	2.000000	1.000000	-0.195023	0.245198	0.719523	0.739671
6619.806625	0.078178	-0.013485	123.889824	114.993118	0.000000	0.350000	0.360000	1.000000	1.000000	2.000000	0.000000	0.000000	0.140082	0.155647	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	1.000000	2.000000	1.000000	-0.195023	0.245198	0.719523	0.739671
6619.809958	0.078178	-0.013485	123.889824	114.993118	0.000000	0.350000	0.360000	1.000000	1.000000	2.000000	0.000000	0.000000	0.140082	0.155647	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	1.000000	2.000000	1.000000	-0.195023	0.245198	0.719523	0.739671
